亚东	Yadong
长汀	Changting
瑞金	Ruijin
兴国	Xingguo
石城	Shicheng
宁化	Ninghua
宁都	Ningdu
连城	Liancheng
永安	Yongan
大田	Datian
清流	Qingliu
明溪	Mingxi
三明	Sanming
沙县	Shaxian
永丰	Yongfeng
广昌	Guangchang
南丰	Nanfeng
峡江	Xiajiang
新干	Xingan
乐安	Anle
樟树	Zhangshu
宜黄	Yihuang
崇仁	Chongren
南城	Nancheng
抚州	Fuzhou
建宁	Jianning
泰宁	Taining
黎川	Lichuan
将乐	Jiangle
顺昌	Shunchang
邵武	Shaowu
建阳	Jianyang
资溪	Zixi
光泽	Guangze
金溪	Jinxi
武夷山	Wuyishan
同安	Tongan
石狮	Shishi
晋江	Jinjiang
泉州	Quanzhou
安溪	Anxi
南安	Nanan
惠安	Huian
崇武	Chongwu
秀屿	Xiuyu
永春	Yongchun
德化	Dehua
仙游	Xianyou
城厢	Chengxiang
秀屿港	Xiuyugang
莆田	Putian
荔城	Licheng
涵江	Hanjiang
永泰	Yongtai
福清	Fuqing
长乐	Changle
尤溪	Youxi
南平	Nanping
古田	Gutian
闽侯	Minhou
闽清	Minqing
福州	Fuzhou
连江	Lianjiang
宁德	Ningde
平潭	Pingtan
罗源	Luoyuan
建瓯	Jianou
屏南	Pingnan
政和	Zhenghe
周宁	Zhouning
松溪	Songxi
浦城	Pucheng
庆元	Qingyuan
寿宁	Shouning
龙泉	Longquan
霞浦	Xiapu
福安	Fuan
柘荣	Zherong
福鼎	Fuding
泰顺	Taishun
景宁	Jingning
云和	Yunhe
文成	Wencheng
苍南	Cangnan
平阳	Pingyang
瑞安	Ruian
温州	Wenzhou
钓鱼岛	Diaoyudao
洞头	Dongtou
宁乡	Ningxiang
望城	Wangcheng
长沙	Changsha
马坡岭	Mapoling
湘阴	Xiangyin
汨罗	Miluo
浏阳	Liuyang
平江	Pingjiang
华容	Huarong
岳阳	Yueyang
临湘	Linxiang
通城	Tongcheng
铜鼓	Tonggu
上高	Shanggao
宜丰	Yifeng
修水	Xiushui
武宁	Wuning
监利	Jianli
洪湖	Honghu
赤壁	Chibi
嘉鱼	Jiayu
潜江	Qianjiang
沙洋	Shayang
天门	Tianmen
仙桃	Xiantao
汉川	Hanchuan
崇阳	Chongyang
通山	Tongshan
咸宁	Xianning
阳新	Yangxin
梁子湖	Liangzihu
铁山	Tieshan
大冶	Daye
下陆	Xialu
黄石	Huangshi
西塞山	Xisaishan
蔡甸	Caidian
江夏	Jiangxia
东西湖	Dongxihu
孝感	Xiaogan
武汉	Wuhan
黄陂	Huangpi
鄂州	Ezhou
黄冈	Huanggang
浠水	Xishui
团风	Tuanfeng
新洲	Xinzhou
高安	Gaoan
丰城	Fengcheng
奉新	Fengxin
南昌县	Nanchangxian
新建	Xinjian
南昌	Nanchang
进贤	Jinxian
东乡	Dongxiang
余干	Yugan
靖安	Jingan
安义	Anyi
永修	Yongxiu
德安	Dean
鄱阳	Poyang
都昌	Duchang
星子	Xingzi
余江	Yujiang
鹰潭	Yingtan
贵溪	Guixi
万年	Wannian
弋阳	Yiyang
铅山	Yanshan
横峰	Hengfeng
上饶县	Shangraoxian
上饶	Shangrao
乐平	Leping
景德镇	Jingdezhen
浮梁	Fuliang
德兴	Dexing
婺源	Wuyuan
武穴	Wuxue
瑞昌	Ruichang
庐山	Lushan
九江	Jiujiang
蕲春	Qichun
黄梅	Huangmei
湖口	Hukou
宿松	Susong
彭泽	Pengze
望江	Wangjiang
罗田	Luotian
英山	Yingshan
太湖	Taihu
岳西	Yuexi
潜山	Qianshan
东至	Dongzhi
祁门	Qimen
石台	Shitai
黟县	Yixian
安庆	Anqing
怀宁	Huaining
枞阳	Zongyang
九华山	Jiuhuashan
池州	Chizhou
青阳	Qingyang
铜陵	Tongling
钟祥	Zhongxiang
京山	Jingshan
应城	Yingcheng
云梦	Yunmeng
安陆	Anlu
广水	Guangshui
枣阳	Zaoyang
随州	Suizhou
孝昌	Xiaochang
大悟	Dawu
红安	Hongan
麻城	Macheng
新县	Xinxian
信阳	Xinyang
罗山	Luoshan
光山	Guangshan
潢川	Huangchuan
唐河	Tanghe
南阳	Nanyang
桐柏	Tongbai
泌阳	Biyang
社旗	Sheqi
方城	Fangcheng
鲁山	Lushan
舞钢	Wugang
叶县	Yexian
舞阳	Wuyang
正阳	Zhengyang
确山	Queshan
驻马店	Zhumadian
汝南	Runan
息县	Xixian
平舆	Pingyu
新蔡	Xincai
遂平	Suiping
西平	Xiping
上蔡	Shangcai
漯河	Luohe
商水	Shangshui
临泉	Linquan
项城	Xiangcheng
周口	Zhoukou
淮阳	Huaiyang
沈丘	Shenqiu
郸城	Dancheng
霍山	Huoshan
商城	Shangcheng
金寨	Jinzhai
固始	Gushi
六安	Luan
霍邱	Huoqiu
桐城	Tongcheng
庐江	Lujiang
舒城	Shucheng
无为	Wuwei
巢湖	Chaohu
肥西	Feixi
合肥	Hefei
肥东	Feidong
含山	Hanshan
淮滨	Huaibin
阜南	Funan
阜阳	Fuyang
颍上	Yingshang
太和	Taihe
界首	Jieshou
利辛	Lixin
蒙城	Mengcheng
涡阳	Guoyang
寿县	Shouxian
淮南	Huainan
长丰	Changfeng
凤台	Fengtai
潘集	Panji
怀远	Huaiyuan
蚌埠	Bengbu
定远	Dingyuan
凤阳	Fengyang
明光	Mingguang
固镇	Guzhen
宿州	Suzhou
五河	Wuhe
灵璧	Lingbi
泗县	Sixian
广丰	Guangfeng
玉山	Yushan
江山	Jiangshan
松阳	Songyang
遂昌	Suichang
开化	Kaihua
常山	Changshan
衢州	Quzhou
衢江	Qujiang
龙游	Longyou
兰溪	Lanxi
建德	Jiande
丽水	Lishui
缙云	Jinyun
青田	Qingtian
永嘉	Yongjia
武义	Wuyi
金华	Jinhua
永康	Yongkang
浦江	Pujiang
义乌	Yiwu
东阳	Dongyang
磐安	Panan
仙居	Xianju
新昌	Xinchang
休宁	Xiuning
黄山	Huangshan
屯溪	Tunxi
歙县	Shexian
黄山风景区	Huangshanfengjingqu
绩溪	Jixi
淳安	Chunan
黄山区	Huangshanqu
旌德	Jingde
泾县	Jingxian
南陵	Nanling
宁国	Ningguo
广德	Guangde
桐庐	Tonglu
诸暨	Zhuji
临安	Linan
富阳	Fuyang
嵊州	Shengzhou
绍兴	Shaoxing
萧山	Xiaoshan
上虞	Shangyu
杭州	Hangzhou
德清	Deqing
安吉	Anji
湖州	Huzhou
余杭	Yuhang
海宁	Haining
桐乡	Tongxiang
嘉兴	Jiaxing
嘉善	Jiashan
乐清	Yueqing
玉环	Yuhuan
温岭	Wenling
黄岩	Huangyan
路桥	Luqiao
洪家	Hongjia
台州	Taizhou
椒江	Jiaojiang
临海	Linhai
天台	Tiantai
三门	Sanmen
宁海	Ninghai
象山	Xiangshan
奉化	Fenghua
鄞州	Yinzhou
宁波	Ningbo
余姚	Yuyao
慈溪	Cixi
镇海	Zhenhai
北仑	Beilun
定海	Dinghai
普陀	Putuo
舟山	Zhoushan
海盐	Haiyan
平湖	Pinghu
金山	Jinshan
奉贤	Fengxian
岱山	Daishan
嵊泗	Shengsi
繁昌	Fanchang
宣城	Xuancheng
芜湖县	Wuhuxian
芜湖	Wuhu
当涂	Dangtu
郎溪	Langxi
高淳	Gaochun
溧阳	Liyang
和县	Hexian
马鞍山	Maanshan
全椒	Quanjiao
滁州	Chuzhou
浦口	Pukou
江浦	Jiangpu
南京	Nanjing
溧水	Lishui
江宁	Jiangning
句容	Jurong
丹徒	Dantu
仪征	Yizheng
镇江	Zhenjiang
长兴	Changxing
宜兴	Yixing
吴江	Wujiang
吴中	Wuzhong
苏州	Suzhou
无锡	Wuxi
锡山	Xishan
金坛	Jintan
武进	Wujin
常州	Changzhou
丹阳	Danyang
扬中	Yangzhong
泰兴	Taixing
江阴	Jiangyin
张家港	Zhangjiagang
常熟	Changshu
南通	Nantong
靖江	Jingjiang
来安	Laian
盱眙	Xuyi
六合	Luhe
邗江	Hanjiang
扬州	Yangzhou
天长	Tianchang
金湖	Jinhu
高邮	Gaoyou
泗洪	Sihong
泗阳	Siyang
洪泽	Hongze
宝应	Baoying
淮安	Huaian
淮阴区	Huaiyinqu
淮安区	Huaianqu
江都	Jiangdu
泰州	Taizhou
姜堰	Jiangyan
兴化	Xinghua
如皋	Rugao
海安	Haian
东台	Dongtai
盐都	Yandu
盐城	Yancheng
建湖	Jianhu
大丰	Dafeng
松江	Songjiang
青浦	Qingpu
闵行	Minhang
徐家汇	Xujiahui
上海	Shanghai
浦东	Pudong
昆山	Kunshan
太仓	Taicang
嘉定	Jiading
宝山	Baoshan
崇明	Chongming
浦东南汇	Pudongnanhui
海门	Haimen
通州	Tongzhou
如东	Rudong
启东	Qidong
石龙	Shilong
平顶山	Pingdingshan
宝丰	Baofeng
汝州	Ruzhou
襄城	Xiangcheng
郏县	Jiaxian
许昌	Xuchang
禹州	Yuzhou
长葛	Changge
新郑	Xinzheng
偃师	Yanshi
登封	Dengfeng
巩义	Gongyi
吉利	Jili
孟州	Mengzhou
济源	Jiyuan
温县	Wenxian
沁阳	Qinyang
新密	Xinmi
荥阳	Xingyang
郑州	Zhengzhou
上街	Shangjie
武陟	Wuzhi
临颍	Linying
鄢陵	Yanling
西华	Xihua
扶沟	Fugou
尉氏	Weishi
太康	Taikang
柘城	Zhecheng
睢县	Suixian
中牟	Zhongmou
通许	Tongxu
开封	Kaifeng
原阳	Yuanyang
延津	Yanjin
封丘	Fengqiu
杞县	Qixian
民权	Minquan
兰考	Lankao
泽州	Zezhou
博爱	Boai
晋城	Jincheng
高平	Gaoping
焦作	Jiaozuo
修武	Xiuwu
获嘉	Huojia
新乡	Xinxiang
辉县	Huixian
陵川	Lingchuan
长子	Zhangzi
壶关	Huguan
长治	Changzhi
屯留	Tunliu
襄垣	Xiangyuan
平顺	Pingshun
林州	Linzhou
潞城	Lucheng
黎城	Licheng
卫辉	Weihui
淇县	Qixian
滑县	Huaxian
浚县	Xunxian
鹤壁	Hebi
长垣	Changyuan
东明	Dongming
濮阳	Puyang
汤阴	Tangyin
安阳	Anyang
峰峰	Fengfeng
磁县	Cixian
内黄	Neihuang
清丰	Qingfeng
南乐	Nanle
临漳	Linzhang
魏县	Weixian
成安	Chengan
肥乡	Feixiang
广平	Guangping
大名	Daming
馆陶	Guantao
鹿邑	Luyi
亳州	Bozhou
宁陵	Ningling
商丘	Shangqiu
虞城	Yucheng
永城	Yongcheng
夏邑	Xiayi
砀山	Dangshan
曹县	Caoxian
定陶	Dingtao
成武	Chengwu
单县	Shanxian
丰县	Fengxian
金乡	Jinxiang
鱼台	Yutai
濉溪	Suixi
淮北	Huaibei
萧县	Xiaoxian
铜山	Tongshan
徐州	Xuzhou
睢宁	Suining
邳州	Pizhou
沛县	Peixian
薛城	Xuecheng
微山	Weishan
枣庄	Zaozhuang
滕州	Tengzhou
台儿庄	Taierzhuang
峄城	Yicheng
兰陵	Lanling
菏泽	Heze
鄄城	Juancheng
郓城	Yuncheng
巨野	Juye
嘉祥	Jiaxiang
济宁	Jining
梁山	Liangshan
汶上	Wenshang
范县	Fanxian
台前	Taiqian
阳谷	Yanggu
冠县	Guanxian
莘县	Shenxian
聊城	Liaocheng
东平	Dongping
东阿	Donge
平阴	Pingyin
邹城	Zoucheng
兖州	Yanzhou
曲阜	Qufu
宁阳	Ningyang
泗水	Sishui
平邑	Pingyi
费县	Feixian
蒙阴	Mengyin
肥城	Feicheng
泰安	Taian
长清	Changqing
新泰	Xintai
莱芜	Laiwu
博山	Boshan
沁县	Qinxian
武乡	Wuxiang
榆社	Yushe
涉县	Shexian
左权	Zuoquan
太谷	Taigu
小店区	Xiaodianqu
晋中	Jinzhong
榆次	Yuci
太原	Taiyuan
寿阳	Shouyang
和顺	Heshun
昔阳	Xiyang
平定	Pingding
阳泉	Yangquan
武安	Wuan
邯郸	Handan
永年	Yongnian
沙河	Shahe
邢台	Xingtai
曲周	Quzhou
邱县	Qiuxian
南和	Nanhe
鸡泽	Jize
任县	Renxian
平乡	Pingxiang
威县	Weixian
广宗	Guangzong
巨鹿	Julu
内丘	Neiqiu
临城	Lincheng
高邑	Gaoyi
赞皇	Zanhuang
元氏	Yuanshi
隆尧	Longyao
柏乡	Baixiang
新河	Xinhe
赵县	Zhaoxian
宁晋	Ningjin
栾城	Luancheng
辛集	Xinji
阳曲	Yangqu
忻州	Xinzhou
定襄	Dingxiang
盂县	Yuxian
原平	Yuanping
代县	Daixian
五台县	Wutaixian
五台山	Wutaishan
繁峙	Fanshi
井陉	Jingxing
平山	Pingshan
鹿泉	Luquan
石家庄	Shijiazhuang
灵寿	Lingshou
正定	Zhengding
行唐	Xingtang
藁城	Gaocheng
晋州	Jinzhou
无极	Wuji
深泽	Shenze
新乐	Xinle
曲阳	Quyang
定州	Dingzhou
阜平	Fuping
唐县	Tangxian
顺平	Shunping
望都	Wangdu
涞源	Laiyuan
临西	Linxi
临清	Linqing
清河	Qinghe
夏津	Xiajin
茌平	Chiping
高唐	Gaotang
武城	Wucheng
禹城	Yucheng
平原	Pingyuan
南宫	Nangong
冀州	Jizhou
故城	Gucheng
枣强	Zaoqiang
衡水	Hengshui
武邑	Wuyi
德州	Dezhou
陵县	Lingxian
景县	Jingxian
阜城	Fucheng
吴桥	Wuqiao
东光	Dongguang
济南	Jinan
齐河	Qihe
临邑	Linyi
济阳	Jiyang
章丘	Zhangqiu
邹平	Zouping
淄川	Zichuan
周村	Zhoucun
淄博	Zibo
桓台	Huantai
高青	Gaoqing
商河	Shanghe
宁津	Ningjin
乐陵	Leling
庆云	Qingyun
惠民	Huimin
滨州	Binzhou
阳信	Yangxin
无棣	Wudi
深州	Shenzhou
安平	Anping
武强	Wuqiang
饶阳	Raoyang
安国	Anguo
博野	Boye
蠡县	Lixian
肃宁	Suning
献县	Xianxian
南皮	Nanpi
泊头	Botou
河间	Hejian
清苑	Qingyuan
保定	Baoding
满城	Mancheng
徐水	Xushui
高阳	Gaoyang
安新	Anxin
易县	Yixian
容城	Rongcheng
定兴	Dingxing
高碑店	Gaobeidian
任丘	Renqiu
雄县	Xiongxian
大城	Dacheng
文安	Wenan
霸州	Bazhou
永清	Yongqing
沧州	Cangzhou
沧县	Cangxian
盐山	Yanshan
孟村	Mengcun
青县	Qingxian
黄骅	Huanghua
海兴	Haixing
静海	Jinghai
津南	Jinnan
西青	Xiqing
天津	Tianjin
东丽	Dongli
北辰	Beichen
大港	Dagang
塘沽	Tanggu
汉沽	Hangu
宁河	Ninghe
宿迁	Suqian
宿豫	Suyu
新沂	Xinyi
沭阳	Shuyang
涟水	Lianshui
灌南	Guannan
灌云	Guanyun
郯城	Tancheng
东海	Donghai
临沂	Linyi
临沭	Linshu
连云港	Lianyungang
赣榆	Ganyu
阜宁	Funing
滨海	Binhai
响水	Xiangshui
射阳	Sheyang
沂南	Yinan
沂水	Yishui
莒南	Junan
日照	Rizhao
莒县	Juxian
五莲	Wulian
沂源	Yiyuan
临朐	Linqu
诸城	Zhucheng
安丘	Anqiu
黄岛	Huangdao
高密	Gaomi
胶州	Jiaozhou
青岛	Qingdao
崂山	Laoshan
即墨	Jimo
青州	Qingzhou
临淄	Linzi
昌乐	Changle
寿光	Shouguang
广饶	Guangrao
博兴	Boxing
潍坊	Weifang
昌邑	Changyi
利津	Lijin
东营	Dongying
垦利	Kenli
沾化	Zhanhua
河口	Hekou
平度	Pingdu
莱州	Laizhou
莱西	Laixi
莱阳	Laiyang
招远	Zhaoyuan
栖霞	Qixia
龙口	Longkou
蓬莱	Penglai
长岛	Changdao
曹妃甸	Caofeidian
唐海	Tanghai
海阳	Haiyang
乳山	Rushan
文登	Wendeng
福山	Fushan
牟平	Mouping
烟台	Yantai
威海	Weihai
石岛	Shidao
荣成	Rongcheng
成山头	Chengshantou
旅顺	Lvshun
大连	Dalian
金州	Jinzhou
长海	Changhai
山阴	Shanyin
应县	Yingxian
左云	Zuoyun
怀仁	Huairen
浑源	Hunyuan
大同县	Datongxian
丰镇	Fengzhen
大同	Datong
阳高	Yanggao
察右前旗	Chayouqianqi
灵丘	Lingqiu
广灵	Guangling
蔚县	Yuxian
阳原	Yangyuan
天镇	Tianzhen
怀安	Huaian
涿鹿	Zhuolu
万全	Wanquan
宣化	Xuanhua
卓资	Zhuozi
集宁	Jining
察右中旗	Chayouzhongqi
察右后旗	Chayouhouqi
兴和	Xinghe
商都	Shangdu
尚义	Shangyi
张家口	Zhangjiakou
崇礼	Chongli
张北	Zhangbei
化德	Huade
康保	Kangbao
太仆寺	Taibusiqi
涞水	Laishui
涿州	Zhuozhou
固安	Guan
廊坊	Langfang
房山	Fangshan
大兴	Daxing
石景山	Shijingshan
丰台	Fengtai
门头沟	Mentougou
海淀	Haidian
北京	Beijing
朝阳	Chaoyang
通州	Tongzhou
怀来	Huailai
延庆	Yanqing
昌平	Changping
顺义	Shunyi
怀柔	Huairou
武清	Wuqing
宝坻	Baodi
香河	Xianghe
大厂	Dachang
三河	Sanhe
蓟县	Jixian
丰南	Fengnan
玉田	Yutian
密云	Miyun
平谷	Pinggu
遵化	Zunhua
兴隆	Xinglong
赤城	Chicheng
丰宁	Fengning
沽源	Guyuan
多伦	Duolun
滦平	Luanping
承德	Chengde
隆化	Longhua
围场	Weichang
朱日和	Zhurihe
苏右旗	Suyouqi
镶黄旗	Xianghuang
正镶白旗	Zhengxiangbaiqi
苏左旗	Suzuoqi
阿巴嘎	Abaga
正蓝旗	Zhenglanqi
克什克腾	Keshiketeng
锡林浩特	Xilinhaote
林西	Linxi
西乌旗	Xiwuqi
唐山	Tangshan
滦南	Luannan
丰润	Fengrun
滦县	Luanxian
迁安	Qianan
乐亭	Leting
昌黎	Changli
卢龙	Lulong
抚宁	Funing
北戴河	Beidaihe
迁西	Qianxi
承德县	Chengdexian
宽城	Kuancheng
青龙	Qinglong
秦皇岛	Qinhuangdao
绥中	Suizhong
兴城	Xingcheng
葫芦岛	Huludao
平泉	Pingquan
凌源	Lingyuan
八里罕	Balihan
喀喇沁	Kalaqin
宁城	Ningcheng
建昌	Jianchang
喀左	Kazuo
建平县	Jianpingxian
朝阳	Chaoyang
北票	Beipiao
普兰店	Pulandian
瓦房店	Wafangdian
营口	Yingkou
庄河	Zhuanghe
盖州	Gaizhou
大石桥	Dashiqiao
岫岩	Xiuyan
锦州	Jinzhou
凌海	Linghai
大洼	Dawa
盘锦	Panjin
盘山	Panshan
义县	Yixian
北镇	Beizhen
黑山	Heishan
阜新	Fuxin
海城	Haicheng
鞍山	Anshan
台安	Taian
弓长岭	Gongchangling
辽阳县	Liaoyangxian
辽阳	Liaoyang
灯塔	Dengta
辽中	Liaozhong
新民	Xinmin
沈阳	Shenyang
岗子	Gangzi
赤峰	Chifeng
巴林右旗	Balinyouqi
翁牛特	Wengniute
敖汉	Aohan
宝国吐	Baoguotu
奈曼	Naiman
巴林左旗	Balinzuoqi
浩尔吐	Haoertu
阿鲁旗	Aluqi
扎鲁特	Zhalute
青龙山	Qinglongshan
库伦	Kulun
彰武	Zhangwu
法库	Faku
调兵山	Diaobingshan
康平	Kangping
科左后旗	Kezuohouqi
双辽	Shuangliao
开鲁	Kailu
通辽	Tongliao
舍伯吐	Shebotu
高力板	Gaoliban
科左中旗	Kezuozhongqi
通榆	Tongyu
东港	Donggang
丹东	Dandong
凤城	Fengcheng
宽甸	Kuandian
本溪	Benxi
本溪县	Benxixian
抚顺	Fushun
章党	Zhangdang
新宾	Xinbin
清原	Qingyuan
桓仁	Huanren
集安	Jian
通化县	Tonghuaxian
通化	Tonghua
白山	Baishan
临江	Linjiang
江源	Jiangyuan
东岗	Donggang
长白	Changbai
铁岭	Tieling
开原	Kaiyuan
昌图	Changtu
西丰	Xifeng
辽源	Liaoyuan
四平	Siping
梨树	Lishu
东辽	Dongliao
公主岭	Gongzhuling
柳河	Liuhe
梅河口	Meihekou
东丰	Dongfeng
辉南	Huinan
伊通	Yitong
双阳	Shuangyang
磐石	Panshi
长岭	Changling
前郭	Qianguo
长春	Changchun
九台	Jiutai
永吉	Yongji
吉林	Jilin
农安	Nongan
德惠	Dehui
扶余	Fuyu
榆树	Yushu
靖宇	Jingyu
抚松	Fusong
桦甸	Huadian
和龙	Helong
敦化	Dunhua
安图	Antu
蛟河	Jiaohe
舒兰	Shulan
五常	Wuchang
龙井	Longjing
延吉	Yanji
珲春	Hunchun
图们	Tumen
汪清	Wangqing
宁安	Ningan
海林	Hailin
牡丹江	Mudanjiang
穆棱	Muling
东宁	Dongning
绥芬河	Suifenhe
青河	Qinghe
东乌旗	Dongwuqi
新右旗	Xinyouqi
满洲里	Manzhouli
乌拉盖	Wulagai
霍林郭勒	Huolinguole
巴雅尔吐胡硕	Bayaertuhushuo
阿尔山	Aershan
科右中旗	Keyouzhongqi
突泉	Tuquan
科右前旗	Keyouqianqi
乌兰浩特	Wulanhaote
洮南	Taonan
白城	Baicheng
镇赉	Zhenlai
泰来	Tailai
索伦	Suolun
胡尔勒	Huerle
扎赉特	Zhalaite
龙江	Longjiang
新左旗	Xinzuoqi
鄂温克旗	Ewenkeqi
海拉尔	Hailaer
陈旗	Chenqi
牙克石	Yakeshi
额尔古纳	Eerguna
博克图	Boketu
扎兰屯	Zhalantun
阿荣旗	Arongqi
小二沟	Xiaoergou
图里河	Tulihe
根河	Genhe
呼中	Huzhong
漠河	Mohe
乾安	Qianan
大安	Daan
松原	Songyuan
肇源	Zhaoyuan
肇州	Zhaozhou
双城	Shuangcheng
安达	Anda
哈尔滨	Haerbin
肇东	Zhaodong
兰西	Lanxi
杜尔伯特	Duerbote
大庆	Daqing
齐齐哈尔	Qiqihaer
林甸	Lindian
青冈	Qinggang
望奎	Wangkui
明水	Mingshui
拜泉	Baiquan
阿城	Acheng
尚志	Shangzhi
呼兰	Hulan
宾县	Binxian
巴彦	Bayan
延寿	Yanshou
木兰	Mulan
方正	Fangzheng
通河	Tonghe
绥化	Suihua
庆安	Qingan
绥棱	Suiling
海伦	Hailun
铁力	Tieli
伊春	Yichun
富裕	Fuyu
莫力达瓦	Molidawa
讷河	Nehe
依安	Yian
克山	Keshan
克东	Kedong
北安	Beian
嫩江	Nenjiang
五大连池	Wudalianchi
鄂伦春旗	Elunchunqi
加格达奇	Jiagedaqi
大兴安岭	Daxinganling
五营	Wuying
孙吴	Sunwu
黑河	Heihe
逊克	Xunke
林口	Linkou
依兰	Yilan
勃利	Boli
桦南	Huanan
鸡东	Jidong
鸡西	Jixi
密山	Mishan
七台河	Qitaihe
汤原	Tangyuan
佳木斯	Jiamusi
桦川	Huachuan
鹤岗	Hegang
集贤	Jixian
双鸭山	Shuangyashan
友谊	Youyi
萝北	Luobei
绥滨	Suibin
富锦	Fujin
宝清	Baoqing
虎林	Hulin
同江	Tongjiang
饶河	Raohe
乌伊岭	Wuyiling
嘉荫	Jiayin
抚远	Fuyuan
新林	Xinlin
塔河	Tahe
呼玛	Huma
